O*NET-SOC Code,Title,Alternate Title,Short Title,Source(s)
11-9041.00,Architectural and Engineering Managers,Architect Manager,,9
11-9041.00,Architectural and Engineering Managers,Architectural Project Manager,,10
11-9041.00,Architectural and Engineering Managers,Civil Engineering Manager,,2
11-9041.00,Architectural and Engineering Managers,Civil Project Manager (Civil PM),Civil PM,10
11-9041.00,Architectural and Engineering Managers,Data Engineering Director,,10
11-9041.00,Architectural and Engineering Managers,Data Engineering Manager,,10
11-9041.00,Architectural and Engineering Managers,Electrical Engineering Director,,"02,04"
11-9041.00,Architectural and Engineering Managers,Electrical Engineering Manager,,2
11-9041.00,Architectural and Engineering Managers,Electrical Project Manager (Electrical PM),Electrical PM,10
11-9041.00,Architectural and Engineering Managers,Electronics Engineering Manager,,8
11-9041.00,Architectural and Engineering Managers,Engineering Design Manager,,"02,04"
11-9041.00,Architectural and Engineering Managers,Engineering Director,,"02,09,10"
11-9041.00,Architectural and Engineering Managers,Engineering Group Manager,,2
11-9041.00,Architectural and Engineering Managers,Engineering Program Manager,,2
11-9041.00,Architectural and Engineering Managers,Engineering Project Manager,,"02,10"
11-9041.00,Architectural and Engineering Managers,Engineering Research Manager,,4
11-9041.00,Architectural and Engineering Managers,Engineering Supervisor,,"02,10"
11-9041.00,Architectural and Engineering Managers,Environmental Engineering Manager,,8
11-9041.00,Architectural and Engineering Managers,Global Engineering Manager,,"02,04"
11-9041.00,Architectural and Engineering Managers,Mechanical Engineering Director,,"02,04"
11-9041.00,Architectural and Engineering Managers,Mechanical Engineering Manager,,2
11-9041.00,Architectural and Engineering Managers,Process Engineering Manager,,"02,04"
11-9041.00,Architectural and Engineering Managers,Product Development Director,,2
11-9041.00,Architectural and Engineering Managers,Project Coordinator,,8
11-9041.00,Architectural and Engineering Managers,Project Engineering Manager,,2
11-9041.00,Architectural and Engineering Managers,Project Manager,,2
11-9041.00,Architectural and Engineering Managers,Prototype Engineer Manager,,8
11-9041.00,Architectural and Engineering Managers,Research and Development Manager (R&D Manager),R&D Manager,2
11-9041.00,Architectural and Engineering Managers,Research Development Manager,,9
11-9041.00,Architectural and Engineering Managers,Research Manager,,"04,06"
11-9041.00,Architectural and Engineering Managers,Transmitter Engineer-in-Charge,,8
13-1081.01,Logistics Engineers,Acquisition Logistics Engineer,,2
13-1081.01,Logistics Engineers,Aero Logistics Engineer,,10
13-1081.01,Logistics Engineers,Auto Logistics Engineer,,10
13-1081.01,Logistics Engineers,Continuous Improvement Specialist,,10
13-1081.01,Logistics Engineers,Cost Engineer,,10
13-1081.01,Logistics Engineers,Cost Estimating Engineer,,10
13-1081.01,Logistics Engineers,Cost Reduction Engineer,,10
13-1081.01,Logistics Engineers,Logistics Engineer,,"02,08,10"
13-1081.01,Logistics Engineers,Logistics Planning Engineer,,8
13-1081.01,Logistics Engineers,Logistics Research Engineer,,8
13-1081.01,Logistics Engineers,Logistics System Engineer,,8
13-1081.01,Logistics Engineers,Procurement Engineer,,10
13-1081.01,Logistics Engineers,Reliability Engineer,,2
13-1081.01,Logistics Engineers,Supportability Engineer,,2
13-1081.01,Logistics Engineers,Systems Engineer,,2
15-1241.01,Telecommunications Engineering Specialists,Communications Analyst,,10
15-1241.01,Telecommunications Engineering Specialists,Communications Engineer,,"02,10"
15-1241.01,Telecommunications Engineering Specialists,Communications Network Engineer,,10
15-1241.01,Telecommunications Engineering Specialists,Communications Systems Engineer,,10
15-1241.01,Telecommunications Engineering Specialists,Engineer,,2
15-1241.01,Telecommunications Engineering Specialists,Infrastructure Engineer,,2
15-1241.01,Telecommunications Engineering Specialists,Messaging Engineer,,10
15-1241.01,Telecommunications Engineering Specialists,Multimedia Telecommunications Systems Integrator,,8
15-1241.01,Telecommunications Engineering Specialists,Network Engineer,,"02,10"
15-1241.01,Telecommunications Engineering Specialists,Registered Communications Distribution Designer (RCDD),RCDD,2
15-1241.01,Telecommunications Engineering Specialists,Telecommunication Design Analyst (Telecom Design Analyst),Telecom Design Analyst,2
15-1241.01,Telecommunications Engineering Specialists,Telecommunication Design Engineer (Telecom Design Engineer),Telecom Design Engineer,2
15-1241.01,Telecommunications Engineering Specialists,Telecommunication Engineer (Telecom Engineer),Telecom Engineer,"02,08"
15-1241.01,Telecommunications Engineering Specialists,Telecommunication Systems Designer (Telecom Systems Designer),Telecom Systems Designer,2
15-1241.01,Telecommunications Engineering Specialists,Telecommunications Administrator (Telecommunications Admin),Telecommunications Admin,10
15-1241.01,Telecommunications Engineering Specialists,Telecommunications Analyst (Telecom Analyst),Telecom Analyst,10
15-1241.01,Telecommunications Engineering Specialists,Telecommunications Consultant (Telecom Consultant),Telecom Consultant,2
