Date of submission,AISHE ID,Institution Track ID,Application For,Cycle of Accreditation,Name of the College,Date of establishment of the Institution,Name of the Head of the Institution,Designation,Does the college function from Own Campus,Address of the College,State/UT,District,City,Pin,Phone No,Fax No,Mobile No,Registered Email,Alternate Email,Alternate Faculty Contact Details,Address,State/UT_1,Pin_1,Phone No_1,Fax No_1,Mobile No_1,Email,Alternate Email_1,Website,"Has the Institution completed 6 years of existence /
Years of graduation of last two batches",Nature of the college,College Affiliation,"Is the Institution recognized under section 2(f) of the
UGC Act?","Is the Institution recognized under section 12B of the
UGC Act?
If yes, date of recognition by UGC under section
12B along with latest Plan General Development
Grant release letter","Is the institution recognised as an Autonomous
College by the UGC?","Is the institution recognised as a ‘College with
Potential for Excellence (CPE)’ by the UGC?","Is the institution recognised as a ‘College of
Excellence’ by the UGC?","Is the College offering any programmes recognised
by any Statutory Regulatory Authority (SRA)",State,University Name,Male,Female,Transgender,Total,Date of establishment of IQAC,Date of uploading data on MHRD website for AISHE,Name of the University,Does the University function from Own Campus,Address of the University,Alternate Phone No,City_1,Alternate Phone No_1,Nature of the University,Type of University,"If the University is not under the purview of UGC
indicate the parent Ministry / Authority under which it
was established(attach proof)","Is the institution recognised as a ‘University with
Potential for Excellence (CPE)’ by the UGC?","Is the University offering any programmes recognised
by any Statutory Regulatory Authority (SRA)","Whether the Institution is registered in the National
Academic Depository (NAD) system",Old Name of the Institution,,Ol Name of University
10/07/2019,C-11810,KLCOGN104462,Accreditation,Cycle1,MAR BASELIOS INSTITUTE OF TECHNOLOGY AND SCIENCE,28/07/2009,Dr. P SOJAN LAL,Principal,Yes,"Mar Baselios Institute of Technology and Science, Nellimattom P.O., Kothamangalam, Ernakulam District.",KERALA,,KOTHAMANGALAM,686693,0485-2837807,0485-2837830,9446745380,naac@mbits.ac.in,info@mbits.edu.in,Prof. LEENA THOMAS Professor,"Professor and Dean (Academics), Mar Baselios Institute of Technology and Science, Nellimatton P.O., Kothamangalam, Ernakulam District.",KERALA,686693,0485-2837803,0485-2837801,9496827934,principal@mbits.edu.in,sojanlal@mbits.edu.in,www.mbits.edu.in,"Yes
Year1- 2017 Year2- 2018",Self Financing,"Affiliated
(Affiliated PG & Above college)",No,No,No,No,No,Yes,Kerala,"A.P.J. Abdul Kalam
Technological University",658,393,0,1051,15/01/2014,23/02/2019 ,,,,,,,,,,,,,,,
28/05/2021,U-0221,KAUNGN11028,Accreditation,Cycle2 Cycle Date Grade Score 1 05/05/2014 A 3.08 2 21/12/2021 A+ 3.37,,18/09/1998,Prof. S Sadagopan,Director,,,Karnataka,,Bangalore,560100,9180-41407777,,9448373037,director@iiitb.ac.in,director@iiitb.ac.in,Prof. Chandrashekar Ramanathan IQAC / CIQA coordinator,,Karnataka,560100,080-41407777,,9845943079,dean-academics@iiitb.ac.in,rc@iiitb.ac.in,www.iiitb.ac.in,"Yes
Year1- 2019 Year2- 2020",,,No,No,,,,,,,786,216,,1002,01/08/2014,05/03/2020 ,INTERNATIONAL INSTITUTE OF INFORMATION TECHNOLOGY,Yes,International Institute of information Technology Bangalore 26/C Electronics City Phase 1 Hosur Road Bangalore,9180-28527627,Bangalore,080-28527627,"Deemed University
View Document",Unitary,No,No,Yes,,,,
10/03/2023,C-11067,MHCOGN114017,Accreditation,Cycle1,"RAJARAMBAPU COLLEGE OF PHARMACY, KASEGAON",16/08/2005,Dr. SHRINIVAS KRISHNA MOHITE,Principal,Yes,"Tal -Walwa, Dist - Sangli",MAHARASHTRA,SANGLI,KASEGAON,415404,02342-238200,02342-238200,9970700946,kespharmacy@gmail.com,mohite_shrinivas@rediffmail.com,Dr. MANGESH ANIL BHUTKAR IQAC / CIQA coordinator,"Tal - Walwa, Dist - Sangli",MAHARASHTRA,415404,02342-,02342-2238200,9423263907,mangesh_bhutkar@rediffmail.com,somu1245@yahoo.co.in,https://www.kesrcp.com,"Yes
Year1- 2021 Year2- 2022",Private and Self Financing,"Affiliated
(Affiliated/Constituent Colleges)","Yes
01/03/2013
View Document","Yes
01/03/2013
View Document",No,No,No,Yes,Maharashtra,Shivaji University,231,349,0,580,21/06/2015,30/12/2022 ,,,,,KASEGAON,,,,,,,,,,
16/11/2017,C-18935,MHCOGN100045,Accreditation,Cycle1,"BAPURAO DESHMUKH COLLEGE OF ENGINEERING, SEVAGRAM",05/07/1983,Dr.GIRISH VISHWESHWARRAO THAKRE,Principal(in-charge),Yes,"At - Sevagram, Tah. Dist.- Wardha",MAHARASHTRA,,SEVAGRAM,442102,07152-284378,07152-284241,9970089261,princi.bdces@gmail.com,gvthakre@gmail.com,Dr.KISHOR DNYANDEO PATIL Professor,"Near Muncipal Water Tank, Bamnote Lay out, Snehal Nagar, Mahila Ashram, Wardha, Tah. Dist.- Wardha, Pin- 442001, (Maharashtra)",MAHARASHTRA,442001,07152-284030,07152-284517,,kishordpatil@yahoo.com,gddhawale@rediffmail.com,www.bdce.edu.in,"Yes
Year1- 2015 Year2- 2016",Private and Self Financing,"Affiliated
(Affiliated PG & Above college)","Yes
09/08/2012
View Document","Yes
09/08/2012
View Document",No,No,No,Yes,Maharashtra,"The Rashtrasant Tukadoji
Maharaj Nagpur University",1193,766,0,1959,01/05/2014,05/04/2017 ,,,,,SEVAGRAM,,,,,,,No,,,
31/12/2018,C-9017,MHCOGN11105,Accreditation,Cycle3 Cycle Date Grade Score 1 03/05/2004 C 2 25/10/2013 B 3 09/08/2019 B 2.24,"BODWAD EDUCATION SOCIETY, BODWAD, ARTS, COMMERCE AND SCIENCE COLLEGE, BODWAD.",30/06/1986,Prof. ARVIND NARAYARAN CHAUDHARI,Principal,Yes,"Arts, Commerce and Science College, Bodwad Jamner Road, Bodwad, Tal- Bodwad, Dist- Jalgaon Maharashtra, India Pin - 425310",MAHARASHTRA,,BODWAD,425310,02580-230038,02582-276331,9422774839,bsces_accb@rediffmail.com,anc.chaudhari@gmail.com,,"Department of Physics, Arts, Commerce
and Science College, Bodwad Jamner Road,
Bodwad, Tal - Bodwad, Dist. Jalgaon
Maharashtra, India Pin - 425310",MAHARASHTRA,425310,02582-275075,02582-275268,9421523832,anilbari_piyu@yahoo.com,iqacbodwad@rediffmail.com,http://acsbodwadcollege.org,"Yes
Year1- 2017 Year2- 2018",Private and Grant-in-aid,"Affiliated
(Affiliated PG & Above college)","Yes
21/07/1999
View Document","Yes
19/07/2005
View Document",No,No,No,,Maharashtra,"North Maharashtra
University",545,589,,1134,21/01/2010,01/02/2018 ,,,,,BODWAD,,,,,,,,,,
06/02/2019,C-10988,MHCOGN11150,Accreditation,Cycle3 Cycle Date Grade Score 1 03/05/2004 B 74.20 2 10/03/2012 B 2.27 3 18/10/2019 C 1.91,RAJARSHI SHAHU ARTS AND COMMERCE COLLEGE,20/06/1992,Dr. ARJUN BABURAO RAJAGE,Principal,Yes,"A/p Rukadi, Taluka Hatkanangale, District Kolhapur",MAHARASHTRA,,RUKADI TALUKA HATKANANAGALE DISTRICT KOLHAPUR,416118,0230-2586003,0230-2585514,8459585276,rajshahurkd@yahoo.com,madhaviramchandra@gmail.com,,"Rajarshi Shahu Arts and Commerce
College, Rukadi",MAHARASHTRA,416118,0230-2585860,0230-2585727,9423981224,ruk63.cl@unishivaji.ac.in,bhoitesudheer@gmail.com,www.rajshahuruk.in,"Yes
Year1- 2017 Year2- 2018",Grant-in-aid,"Affiliated
(Affiliated PG & Above college)","Yes
31/12/2004
View Document","Yes
31/12/2004
View Document",No,No,No,No,Maharashtra,Shivaji University,307,292,0,599,01/08/2004,28/02/2018 ,,,,,"RUKADI TALUKA HATKANANAGALE DISTRICT
KOLHAPUR",,,,,,,,,,
15/05/2023,C-21887,UKCOGN106600,Accreditation,Cycle1,"SHRI RAM SINGH DHONI RAJKIYA MAHAVIDYALAY, JAINTI (ALMORA)",31/03/1996,Dr. SANTOSH KUMAR,Principal,Yes,"Jainti, Almora, Uttarakhand",UTTARAKHAND,ALMORA,JAINTI,263626,05962-275322,-,9412963638,gdcjainti@gmail.com,gdcjainti.iqac@gmail.com,Mr. PRABHDEEP SINGH IQAC / CIQA coordinator,"Jainti, Almora, Uttarakhand",UTTARAKHAND,263626,05962-275323,-,9837266404,Prabhdeep1919@gmail.com,,www.gdcjainti.in,"Yes
Year1- 2021 Year2- 2022",Government,"Affiliated
(Affiliated/Constituent Colleges)","Yes
08/09/2008
View Document","Yes
08/09/2008
View Document",No,No,No,No,Uttarakhand,Kumaun University,39,280,0,319,27/11/2017,15/05/2023 ,,,,,JAINTI,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uttarakhand,"Soban Singh Jeena
University",,,,,,,,,,,,,,,,,,,,,
16/11/2023,C-9240,KACOGN101134,Accreditation,Cycle2 Cycle Date Grade Score 1 02/11/2018 B 2.14 2 30/10/2024 B 2.32,GOVERNMENT FIRST GRADE COLLEGE BHALKI,27/04/2007,Mr. LAXMAN N KAMBLE,Principal(in-charge),Yes,"Opposite BKIT Engineer College Humnabad Road, Beside Idga Maidan, Bhalki Bidar Dist",KARNATAKA,BIDAR,BHALKI,585328,08484-1000000,-,9916460650,gfgcbhalki@gmail.com,,Dr. RAVI P METI IQAC / CIQA coordinator,,KARNATAKA,585328,-,-,9986812733,iqacgfgc2020@gmail.com,ravimeti43@gmail.com,"https://gfgc.karnataka.gov.in/gfgcbhalki
/public/","Yes
Year1- 2021 Year2- 2022",Government,"Affiliated
(Affiliated/Constituent Colleges)","Yes
28/11/2017
View Document",No,No,No,No,No,Karnataka,Bidar University,230,381,0,611,15/04/2015,03/03/2023 ,,,,,BHALKI,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karnataka,Gulbarga University,,,,,,,,,,,,,,,,,,,,,
